Date,Source,Start_Hour,End_Hour,Production
12/18/2022,Wind,21,22,11400
1/29/2024,Wind,14,15,7917
8/1/2024,Solar,15,16,8835
11/10/2020,Wind,1,2,989
12/19/2022,Wind,1,2,12526
10/18/2024,Solar,13,14,4855
4/10/2020,Solar,17,18,3692
1/25/2023,Wind,0,1,2156
12/12/2021,Wind,12,13,5813
10/11/2020,Wind,13,14,6106
1/8/2024,Wind,23,0,5515
1/8/2020,Wind,18,19,2785
1/29/2022,Wind,20,21,8498
6/2/2021,Solar,15,16,5561
6/11/2024,Wind,7,8,2328
6/5/2020,Wind,21,22,6664
5/2/2021,Solar,13,14,4993
1/13/2022,Wind,0,1,3276
7/24/2020,Wind,3,4,1739
8/29/2024,Wind,5,6,2083
1/3/2024,Wind,0,1,17272
4/2/2024,Wind,2,3,12285
7/29/2020,Solar,16,17,3480
11/5/2024,Wind,6,7,1690
10/24/2022,Wind,8,9,11508
2/27/2023,Wind,10,11,15692
4/2/2020,Solar,15,16,4169
5/13/2020,Wind,3,4,3174
11/22/2023,Wind,14,15,7314
9/11/2021,Solar,11,12,4969
4/7/2025,Solar,15,16,9862
7/27/2025,Wind,22,23,3862
3/11/2021,Wind,13,14,16144
4/30/2022,Solar,16,17,8188
1/19/2023,Wind,23,0,1710
9/11/2022,Wind,4,5,472
9/25/2021,Solar,16,17,3402
8/8/2020,Solar,12,13,3996
6/8/2021,Wind,1,2,1148
6/10/2024,Wind,21,22,4062
6/18/2020,Wind,0,1,1443
5/30/2023,Wind,17,18,13363
2/17/2022,Wind,1,2,15609
5/11/2022,Wind,19,20,8878
5/7/2024,Wind,7,8,2974
11/22/2025,Wind,12,13,12324
4/9/2021,Wind,21,22,5279
12/24/2021,Wind,11,12,3872
3/11/2023,Wind,12,13,6406
8/13/2021,Solar,13,14,5323
2/1/2021,Wind,15,16,7166
9/11/2023,Solar,13,14,7117
7/1/2020,Wind,13,14,5874
3/10/2025,Solar,9,10,4807
6/23/2023,Solar,15,16,7976
2/9/2023,Solar,13,14,5168
5/24/2020,Wind,0,1,4384
7/26/2021,Wind,23,0,1465
9/28/2020,Wind,6,7,3962
8/25/2021,Wind,0,1,6786
12/16/2021,Wind,14,15,5553
3/11/2022,Wind,22,23,10557
4/13/2020,Wind,17,18,10961
10/4/2022,Wind,23,0,2160
6/12/2025,Wind,1,2,8382
8/18/2022,Solar,10,11,3688
10/25/2025,Wind,18,19,8209
10/24/2023,Wind,22,23,6448
10/13/2021,Wind,18,19,2194
7/19/2025,Wind,11,12,10173
6/1/2021,Wind,5,6,5221
6/30/2022,Wind,22,23,2181
1/4/2020,Wind,5,6,3143
4/23/2020,Wind,3,4,2541
9/19/2021,Wind,9,10,4133
2/1/2021,Wind,5,6,5020
7/8/2022,Wind,8,9,3748
7/8/2025,Solar,13,14,13125
7/7/2021,Solar,14,15,5096
1/22/2020,Wind,15,16,4074
6/28/2025,Solar,17,18,7681
2/25/2021,Wind,3,4,4820
5/22/2021,Wind,17,18,10961
2/16/2022,Wind,5,6,14822
6/22/2023,Wind,4,5,3376
6/18/2022,Wind,22,23,8199
6/8/2022,Wind,15,16,10512
12/1/2022,Wind,3,4,3869
4/17/2023,Wind,16,17,10404
12/9/2020,Wind,9,10,3334
2/7/2023,Wind,18,19,5042
9/28/2020,Wind,20,21,4228
2/12/2023,Solar,15,16,5718
11/23/2023,Wind,2,3,2948
12/12/2024,Wind,19,20,3528
5/11/2025,Wind,1,2,7504
5/30/2024,Wind,19,20,8561
7/29/2024,Solar,16,17,8215
8/27/2024,Wind,23,0,3000
11/13/2021,Wind,9,10,5084
9/20/2021,Wind,19,20,3112
2/13/2023,Solar,12,13,6722
11/14/2020,Wind,2,3,4362
1/29/2025,Wind,0,1,18199
3/2/2022,Wind,4,5,2961
6/6/2025,Wind,16,17,7448
7/15/2025,Wind,2,3,3144
5/15/2022,Solar,15,16,9252
6/6/2024,Solar,16,17,7935
12/1/2020,Wind,6,7,7577
2/1/2020,Wind,20,21,10073
12/5/2022,Wind,7,8,723
11/2/2021,Wind,17,18,1723
3/30/2024,Solar,15,16,7864
5/7/2020,Solar,14,15,4403
7/22/2024,Wind,4,5,3323
1/23/2022,Wind,23,0,3658
4/16/2024,Wind,8,9,14410
2/2/2021,Wind,17,18,9228
4/6/2025,Solar,12,13,8484
10/24/2025,Wind,20,21,12993
9/12/2024,Wind,19,20,4668
6/1/2021,Wind,20,21,3220
6/10/2022,Wind,4,5,2337
5/12/2024,Wind,4,5,3727
11/1/2025,Wind,1,2,13837
5/29/2022,Solar,9,10,7338
8/30/2023,Wind,18,19,7641
4/29/2023,Wind,20,21,2453
5/22/2022,Solar,15,16,5188
8/12/2022,Solar,12,13,8910
8/31/2020,Solar,13,14,4731
9/17/2020,Wind,1,2,5365
5/13/2023,Solar,10,11,7155
10/16/2021,Solar,15,16,4121
1/4/2022,Wind,8,9,6398
11/10/2024,Wind,22,23,2532
4/25/2022,Wind,21,22,2493
5/14/2021,Wind,11,12,7152
10/14/2020,Wind,8,9,3082
9/29/2021,Wind,13,14,11398
2/2/2020,Wind,2,3,6412
7/10/2021,Wind,19,20,3038
6/9/2022,Wind,0,1,6305
12/4/2021,Wind,2,3,8913
8/5/2020,Wind,4,5,1018
1/22/2020,Wind,16,17,3930
2/21/2024,Wind,0,1,3618
1/1/2021,Solar,12,13,1994
7/20/2021,Wind,22,23,3054
7/9/2025,Solar,11,12,9719
12/8/2024,Wind,6,7,16946
10/21/2024,Wind,20,21,4621
7/3/2025,Solar,13,14,9835
6/3/2022,Wind,8,9,3026
6/15/2022,Solar,13,14,6208
3/18/2022,Wind,5,6,8159
3/9/2021,Wind,8,9,2948
2/17/2022,Wind,19,20,8507
11/11/2021,Wind,5,6,982
6/6/2020,Wind,1,2,5766
10/24/2020,Wind,8,9,8585
9/18/2023,Wind,9,10,8347
11/24/2025,Wind,7,8,8309
9/9/2021,Wind,1,2,2685
9/25/2025,Wind,18,19,3302
5/12/2021,Wind,17,18,4435
6/2/2022,Solar,9,10,4378
1/14/2025,Solar,15,16,4353
3/22/2023,Wind,14,15,15456
7/7/2024,Wind,19,20,4892
1/28/2021,Wind,4,5,9675
2/12/2025,Wind,1,2,2685
8/25/2021,Solar,14,15,9454
7/17/2023,Wind,6,7,2269
6/25/2025,Solar,13,14,9397
3/3/2021,Wind,9,10,1845
6/22/2021,Wind,14,15,6749
3/19/2025,Solar,13,14,13786
5/31/2020,Wind,19,20,5250
2/21/2020,Wind,16,17,7148
6/4/2023,Wind,8,9,4706
3/3/2025,Wind,18,19,2282
8/17/2025,Solar,12,13,11455
1/3/2020,Wind,21,22,4570
5/19/2023,Wind,18,19,8236
4/3/2021,Wind,5,6,7508
7/16/2025,Solar,12,13,16160
6/8/2024,Wind,5,6,2141
9/29/2022,Solar,15,16,3999
9/19/2024,Wind,8,9,8855
5/23/2021,Wind,20,21,6519
11/19/2024,Wind,2,3,16568
11/2/2025,Wind,12,13,17124
3/6/2020,Wind,19,20,4409
9/24/2025,Wind,14,15,10617
3/6/2021,Wind,0,1,6907
1/8/2024,Wind,1,2,11458
1/29/2024,Wind,9,10,8026
6/8/2024,Wind,21,22,2990
9/5/2020,Wind,2,3,2313
8/29/2023,Solar,16,17,6026
3/31/2023,Wind,21,22,17308
8/2/2021,Solar,12,13,4915
11/12/2021,Wind,19,20,4622
4/7/2024,Wind,13,14,6534
8/23/2022,Wind,20,21,692
3/31/2025,Solar,12,13,12441
12/12/2024,Wind,23,0,3205
10/30/2023,Wind,14,15,6382
7/13/2025,Wind,23,0,2819
3/10/2020,Wind,16,17,12787
1/9/2021,Wind,3,4,2353
4/2/2021,Wind,2,3,7071
11/24/2022,Wind,21,22,10233
8/4/2025,Wind,4,5,2819
9/24/2021,Solar,10,11,3708
11/14/2020,Wind,14,15,9092
2/12/2025,Solar,11,12,3734
11/18/2024,Wind,17,18,7419
8/25/2025,Solar,11,12,7160
11/11/2025,Wind,13,14,13901
9/15/2021,Wind,9,10,2675
8/21/2022,Wind,7,8,794
11/14/2025,Wind,3,4,10916
4/30/2022,Solar,10,11,6810
10/9/2022,Wind,3,4,4965
4/26/2024,Wind,0,1,2294
3/12/2022,Wind,15,16,9696
2/21/2023,Solar,12,13,4252
3/29/2023,Solar,11,12,8491
4/27/2021,Wind,22,23,2003
2/17/2020,Wind,4,5,6453
1/19/2024,Wind,23,0,3521
3/31/2025,Wind,7,8,5090
11/2/2021,Wind,12,13,6192
11/11/2022,Wind,7,8,3461
10/26/2021,Solar,12,13,5605
9/22/2022,Wind,19,20,399
5/11/2025,Solar,13,14,4563
1/28/2022,Wind,1,2,2439
11/20/2022,Wind,10,11,9228
7/12/2022,Wind,1,2,4082
11/24/2024,Wind,12,13,22929
2/1/2020,Wind,4,5,9131
11/6/2024,Wind,5,6,189
10/28/2021,Wind,9,10,6796
10/22/2020,Wind,12,13,5144
3/10/2022,Wind,0,1,6808
11/3/2021,Wind,5,6,3819
12/8/2024,Wind,2,3,16670
6/3/2020,Wind,5,6,631
6/27/2020,Wind,11,12,9506
6/4/2021,Wind,3,4,1527
11/17/2020,Wind,22,23,2667
10/21/2021,Wind,8,9,11321
8/19/2021,Wind,23,0,940
6/4/2020,Wind,23,0,2918
8/14/2023,Solar,11,12,7955
5/13/2024,Wind,3,4,2321
8/11/2024,Solar,16,17,5870
5/4/2021,Wind,7,8,13322
4/26/2025,Solar,11,12,4018
1/21/2020,Wind,18,19,3303
11/2/2021,Wind,19,20,2311
7/29/2023,Wind,1,2,3618
5/21/2023,Wind,8,9,4686
2/7/2025,Wind,18,19,9119
7/25/2022,Wind,11,12,10186
10/16/2024,Wind,16,17,11196
1/11/2022,Wind,18,19,2621
4/19/2024,Wind,2,3,6475
7/28/2024,Wind,23,0,6281
4/5/2025,Wind,18,19,8043
1/4/2022,Wind,20,21,9372
7/6/2023,Wind,4,5,1028
3/22/2024,Wind,23,0,7326
1/16/2024,Wind,9,10,2207
5/8/2024,Wind,20,21,3372
1/26/2025,Wind,19,20,19633
7/20/2020,Wind,7,8,3155
3/2/2024,Wind,1,2,11147
5/17/2021,Wind,13,14,15419
9/22/2024,Wind,4,5,3577
7/18/2021,Wind,3,4,5140
3/20/2020,Wind,15,16,7700
4/14/2025,Wind,23,0,5469
2/19/2020,Wind,7,8,7659
